Unnamed: 0,GEOID,Date,population,poverty-rate,renter-occupied-households,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,pct-multiple,pct-other,low-flag,imputed,subbed,avg_household_size_owner,avg_household_size_renter,Total_Less_Than_HS,Total_HS_Grad,Total_Some_College_or_AAS,Total_Bachelors,Mean_hours_worked,Primary Type,redlined,crime_rate,less_hs_rate,hs_grad_rate,some_college_rate,bachelors_rate,if_top_10,index
22744,170315001002,2015,477.0,13.76,40.0,0.0,0,0,0,32.7,0.0,92.66,2.31,0.0,3.35,0.0,1.68,0.0,0,0,0,2.19,5.57,260.0,593.0,1040.0,306.0,37.3,15,0.0,0.08176100628930817,0.5450733752620545,1.2431865828092243,2.180293501048218,0.6415094339622641,0,4012
22745,170315001002,2016,477.0,13.76,41.0,0.0,0,0,0,32.7,0.0,92.66,2.31,0.0,3.35,0.0,1.68,0.0,0,0,0,2.18,1.38,317.0,623.0,912.0,353.0,36.4,4,0.0,0.14255765199161424,0.6645702306079665,1.3060796645702306,1.9119496855345912,0.740041928721174,0,4013
22811,170315002002,2014,465.0,10.59,116.0,58.86,1,0,0,41.6,4.73,89.46,0.0,0.0,3.87,0.0,1.94,0.0,0,0,0,2.33,3.49,157.0,331.0,488.0,210.0,39.3,15,1.0,0.6430107526881721,0.3376344086021505,0.7118279569892473,1.049462365591398,0.4516129032258064,1,4023
22812,170315002002,2015,465.0,10.59,120.0,58.86,1,0,0,41.6,4.73,89.46,0.0,0.0,3.87,0.0,1.94,0.0,0,0,0,2.54,2.74,103.0,362.0,501.0,206.0,38.5,15,1.0,0.6279569892473118,0.22150537634408604,0.7784946236559139,1.0774193548387097,0.4430107526881721,1,4024
22813,170315002002,2016,465.0,10.59,123.0,58.86,1,0,0,41.6,4.73,89.46,0.0,0.0,3.87,0.0,1.94,0.0,0,0,0,2.26,2.89,137.0,362.0,484.0,190.0,37.9,15,1.0,0.5892473118279571,0.2946236559139785,0.7784946236559139,1.0408602150537634,0.4086021505376344,1,4025
23321,170315302001,2014,849.0,25.34,152.0,44.64,1,0,0,50.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.93,4.65,649.0,1035.0,804.0,147.0,34.2,1,0.0,0.2108362779740872,0.7644287396937574,1.2190812720848057,0.9469964664310954,0.17314487632508835,1,4113
23322,170315302001,2015,849.0,25.34,152.0,44.64,1,0,0,50.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.79,5.03,662.0,1008.0,910.0,181.0,34.2,1,0.0,0.21672555948174324,0.7797408716136631,1.187279151943463,1.071849234393404,0.2131919905771496,1,4114
23323,170315302001,2016,849.0,25.34,153.0,44.64,1,0,0,50.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.54,4.45,493.0,1003.0,825.0,247.0,34.0,4,0.0,0.18845700824499406,0.5806831566548881,1.1813898704358068,0.9717314487632508,0.2909305064782097,1,4115
23338,170315302002,2014,1098.0,69.83,109.0,80.0,1,0,0,50.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.95,5.79,649.0,1035.0,804.0,147.0,34.2,9,0.0,0.1812386156648452,0.5910746812386156,0.9426229508196722,0.73224043715847,0.13387978142076504,1,4116
23339,170315302002,2015,1098.0,69.83,110.0,80.0,1,0,0,50.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4.55,5.1,662.0,1008.0,910.0,181.0,34.2,1,0.0,0.14025500910746813,0.6029143897996357,0.918032786885246,0.8287795992714025,0.16484517304189436,1,4117
